review_id,user_id,trail_id,overallRating,trailMaintenance,difficultyFactors,favoredFactors,predictedDifficulty,perceivedDifficulty,distance,duration,elevation
rev_001,user_001,trail_001,5,4,d1,f1,4,4,8200,16200,610
rev_002,user_001,trail_002,4,3,d2,f2,3,3,12100,14400,410
rev_003,user_002,trail_001,4,4,d1,f1,4,3,8050,15800,595
rev_004,user_003,trail_004,5,5,d3,f3,5,5,16500,27000,920
rev_005,user_004,trail_003,3,2,d2,f1,3,4,6200,13000,510
rev_006,user_005,trail_007,5,5,d1,f2,2,2,5100,9000,260
rev_007,user_005,trail_002,4,4,d2,f1,3,3,11900,14000,395
rev_008,user_006,trail_006,4,4,d1,f1,3,3,7600,10800,310
rev_009,user_006,trail_007,5,4,d1,f2,2,2,5000,8800,250
rev_010,user_007,trail_009,4,3,d2,f3,5,5,11200,18000,660
rev_011,user_008,trail_005,4,4,d1,f1,3,3,9600,14400,360
rev_012,user_009,trail_004,4,4,d3,f2,6,6,16200,25200,890
rev_013,user_010,trail_001,5,4,d1,f1,4,4,8100,16000,605
rev_014,user_010,trail_003,4,3,d2,f2,4,3,6100,12600,505
rev_015,user_011,trail_002,3,3,d1,f1,3,4,12300,15000,420
rev_016,user_012,trail_008,5,4,d3,f3,7,7,14200,28800,1120
rev_017,user_013,trail_007,5,5,d1,f2,2,1,5050,8600,255
rev_018,user_014,trail_010,4,4,d2,f1,4,4,8600,14400,490
rev_019,user_015,trail_006,4,3,d1,f2,3,3,7400,10500,295
rev_020,user_016,trail_001,4,4,d1,f1,4,4,8300,16500,615
rev_021,user_017,trail_005,5,4,d1,f1,3,3,9400,14000,345
rev_022,user_018,trail_003,4,4,d2,f2,4,4,6050,12500,495
rev_023,user_019,trail_009,3,3,d2,f1,5,5,11400,18600,670
rev_024,user_020,trail_004,5,5,d3,f3,6,6,16100,24800,905
rev_025,user_021,trail_007,4,4,d1,f2,2,2,5150,9200,265
rev_026,user_022,trail_002,4,3,d1,f1,3,3,12050,14200,405
rev_027,user_023,trail_006,5,4,d1,f1,3,2,7550,10200,305
rev_028,user_024,trail_008,4,4,d3,f3,7,7,13900,28200,1090
rev_029,user_025,trail_010,4,4,d2,f1,4,3,8450,14000,475
rev_030,user_026,trail_001,5,5,d1,f1,4,3,8150,15900,598
rev_031,user_027,trail_005,4,4,d1,f2,3,3,9550,14300,355
rev_032,user_028,trail_003,3,3,d2,f1,4,4,6150,12900,515
rev_033,user_029,trail_009,4,4,d2,f3,5,4,11100,17800,645
rev_034,user_030,trail_007,5,5,d1,f2,2,2,4950,8500,245
rev_035,user_031,trail_004,4,4,d3,f2,6,6,16300,25500,915
rev_036,user_032,trail_002,4,4,d1,f1,3,3,11950,14100,398
rev_037,user_033,trail_006,4,3,d1,f1,3,3,7650,10900,315
rev_038,user_034,trail_001,5,4,d1,f1,4,4,8250,16300,612
rev_039,user_035,trail_008,5,5,d3,f3,7,6,14150,27900,1110
rev_040,user_036,trail_010,4,4,d2,f1,4,4,8550,14300,485
rev_041,user_037,trail_005,4,3,d1,f2,3,3,9450,14100,350
rev_042,user_038,trail_007,5,5,d1,f2,2,1,5020,8700,252
rev_043,user_039,trail_003,3,2,d2,f1,4,5,6250,13200,525
rev_044,user_040,trail_009,4,4,d2,f3,5,5,11300,18300,655
rev_045,user_041,trail_002,5,4,d1,f1,3,3,11850,13900,390
rev_046,user_042,trail_001,4,4,d1,f1,4,4,8180,16100,602
rev_047,user_043,trail_006,4,4,d1,f2,3,3,7480,10600,302
rev_048,user_044,trail_004,5,5,d3,f3,6,5,15950,24600,895
rev_049,user_045,trail_005,4,4,d1,f1,3,3,9520,14200,352
rev_050,user_046,trail_007,5,5,d1,f2,2,2,4980,8600,248
rev_051,user_047,trail_010,4,3,d2,f1,4,4,8520,14200,482
rev_052,user_048,trail_008,4,4,d3,f3,7,7,14050,28500,1105
rev_053,user_049,trail_009,4,4,d2,f3,5,4,11150,17900,650
rev_054,user_050,trail_003,4,4,d2,f1,4,4,6080,12600,498
